assistant_spans,assistant_text_spans,assistant_tool_call_spans,boundary_masked_characters,boundary_masked_texts,boundary_merged_spans,boundary_non_whitespace_characters,characters,dataset_index,length_bin,masked_tokens,messages,over_max_model_len,status,supervised_fraction,supervised_tokens,task_id,tokens,tool_results,trajectory_id
19,10,9,8,"[""\n\n"", ""\n\n"", ""\n\n"", ""\n\n""]",4,0,34298,47,08193-12288,7840,39,False,ok,0.16408998827167076,1539,31,9379,9,0c9acd22-a375-4ea7-8bcd-ce1243f2fb14
10,4,6,2,"[""\n\n""]",1,0,32118,48,08193-12288,7909,21,False,ok,0.12083148065807026,1087,34,8996,6,b96fb031-2154-409b-89a8-389a1a428cd2
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,33030,49,08193-12288,7844,23,False,ok,0.14766923829186135,1359,34,9203,6,febe674c-c571-42d0-b23d-43661b226535
12,4,8,2,"[""\n\n""]",1,0,36442,50,08193-12288,9351,25,False,ok,0.15505557061534292,1716,35,11067,8,736c3856-5a67-4153-ba2b-874e676b33dc
14,5,9,2,"[""\n\n""]",1,0,38506,51,08193-12288,10478,29,False,ok,0.12398628877184181,1483,35,11961,9,2a552ab4-fa6e-45c0-92d0-25368e5cc341
16,6,10,2,"[""\n\n""]",1,0,42066,52,12289-32768,10692,33,False,ok,0.176461526611723,2291,37,12983,10,04cd5ce8-2a8a-4ad7-9ddc-a8bef6a94dfa
16,6,10,2,"[""\n\n""]",1,0,41322,53,12289-32768,10691,33,False,ok,0.17392984082831092,2251,37,12942,10,eb058787-0d86-4c73-9a3b-40aa7fe72446
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,32514,54,08193-12288,7458,23,False,ok,0.18731611637790127,1719,46,9177,6,f8a2fa25-bd6c-4799-a2f0-6d067b41de95
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,33135,55,08193-12288,7441,23,False,ok,0.19816810344827587,1839,46,9280,6,01918b0c-63b9-49e3-9062-46effe3dbe4a
10,6,4,2,"[""\n\n""]",1,0,29479,56,04097-08192,6804,21,False,ok,0.16648291069459759,1359,47,8163,4,47cdeeb9-db32-43cf-839c-8d38d5e41713
12,6,6,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,32131,57,08193-12288,7398,25,False,ok,0.18299282164549974,1657,47,9055,6,2dae0600-8206-4ce5-af37-583ab80bd123
11,5,6,2,"[""\n\n""]",1,0,30034,58,08193-12288,7344,23,False,ok,0.11432706222865413,948,48,8292,6,0c2231d9-e499-4cdd-b3fb-93a0fb204bac
12,6,6,2,"[""\n\n""]",1,0,30108,59,08193-12288,7377,25,False,ok,0.10927312243419464,905,48,8282,6,31442f75-1941-41e0-b76e-9ca111843755
9,6,3,2,"[""\n\n""]",1,0,25682,60,04097-08192,5788,19,False,ok,0.11741384568465996,770,57,6558,3,9423972e-be07-494c-831f-596ad1873f6c
8,5,3,0,[],0,0,25174,61,04097-08192,5768,17,False,ok,0.10365190365190365,667,57,6435,3,b8aedb91-2f33-4b3b-a067-ed50298d7785
11,4,7,4,"[""\n\n"", ""\n\n""]",2,0,31293,62,08193-12288,7245,23,False,ok,0.1442239546420978,1221,59,8466,7,a35fe70a-8aca-4128-b7ee-8408d0937ec8
12,4,8,2,"[""\n\n""]",1,0,31098,63,08193-12288,7254,25,False,ok,0.13560533841754052,1138,59,8392,8,1c6a72d6-6b52-4fd7-8d72-f72f602fd3b1
12,6,6,2,"[""\n\n""]",1,0,32931,64,08193-12288,7944,25,False,ok,0.1463571889103804,1362,63,9306,6,1ebe9f2b-6a56-4ac2-86ea-c361b1a1c212
11,5,6,2,"[""\n\n""]",1,0,33930,65,08193-12288,8001,23,False,ok,0.17574945915318843,1706,63,9707,6,c46e67b3-d145-4a64-8390-66842a743e68
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,28560,66,04097-08192,6624,21,False,ok,0.12589073634204276,954,66,7578,5,319edaa0-ccd0-4edd-af50-e015f7a472fc
11,6,5,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,28901,67,04097-08192,6631,23,False,ok,0.13229521067783304,1011,66,7642,5,90a2ccb1-71e4-43c3-92cb-220fdd0c8360
12,5,7,0,[],0,0,27267,68,04097-08192,6614,25,False,ok,0.09841875681570338,722,67,7336,7,f30865ff-571a-4a1b-a069-8c724ddeeec4
15,8,7,0,[],0,0,30513,69,04097-08192,6756,31,False,ok,0.16137040714995035,1300,67,8056,7,e22e6c7e-a73a-4e14-99bf-e8904e5bac7f
11,5,6,2,"[""\n\n""]",1,0,28201,70,04097-08192,6725,23,False,ok,0.10416944185426935,782,69,7507,6,c3fab5dc-7017-4108-aa92-2125015e00d9
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,28357,71,04097-08192,6716,23,False,ok,0.11164021164021164,844,69,7560,6,d536270c-9ef8-4267-9db3-83407a73308a
13,6,7,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,37039,72,08193-12288,8736,27,False,ok,0.1905114899925871,2056,72,10792,7,17c07dab-e59b-4203-984f-7089497286d7
18,7,11,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,47030,73,12289-32768,10364,37,False,ok,0.2563145809414466,3572,72,13936,11,d7cb5cd9-460e-4557-86d5-98d84ddf27c2
9,4,5,0,[],0,0,29536,74,08193-12288,7379,19,False,ok,0.11064240086778354,918,75,8297,5,553d0bf6-c4e7-44de-9631-b00406febadf
10,5,5,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,30149,75,08193-12288,7354,21,False,ok,0.13958113958113957,1193,75,8547,5,460bb108-b221-410e-acd5-f906e70a145a
15,3,12,0,[],0,0,37251,76,08193-12288,9951,31,False,ok,0.0979876722262509,1081,76,11032,12,bacbae2e-a494-4267-8e6a-bcb37c7f070c
17,4,13,2,"[""\n\n""]",1,0,49170,77,12289-32768,11319,35,False,ok,0.23700707785642064,3516,76,14835,13,970ea165-9473-433f-807a-d057d40c46dc
13,4,9,0,[],0,0,34810,78,08193-12288,8608,27,False,ok,0.14254407809542782,1431,78,10039,9,89f09728-bdca-4cc5-a87b-75cdb2121339
19,10,9,2,"[""\n\n""]",1,0,37207,79,08193-12288,8734,39,False,ok,0.17236804700085284,1819,78,10553,9,73e9c5be-b718-4ba4-9055-44f9e0b4b784
10,5,5,2,"[""\n\n""]",1,0,29906,80,08193-12288,7167,21,False,ok,0.13358317214700194,1105,80,8272,5,e8a1dfbb-e8c0-46db-b1b8-7c19e435cd39
11,6,5,2,"[""\n\n""]",1,0,29851,81,08193-12288,7197,23,False,ok,0.13090206496799903,1084,80,8281,5,f460fc88-3dd1-4418-b2f4-281d853f8001
12,4,8,2,"[""\n\n""]",1,0,32845,82,08193-12288,8165,25,False,ok,0.12411499678180649,1157,81,9322,8,9dcd7ee5-1626-48fc-bde2-489d73f0b1cb
13,5,8,2,"[""\n\n""]",1,0,32951,83,08193-12288,8229,27,False,ok,0.10310626702997275,946,81,9175,8,dc66b573-561b-4b43-a1ae-4feb535a774d
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,32375,84,08193-12288,7934,25,False,ok,0.1555981268624947,1462,82,9396,7,29bb2ca1-0de8-4213-a844-4af89e50d1a7
12,5,7,2,"[""\n\n""]",1,0,32706,85,08193-12288,7922,25,False,ok,0.16124933827421917,1523,82,9445,7,43ff731c-086d-4d1e-83cd-b7949d9838a5
11,4,7,2,"[""\n\n""]",1,0,31010,86,08193-12288,7840,23,False,ok,0.10959681998864282,965,83,8805,7,b195b68c-fc3e-4fc7-8a8d-43c386549708
13,6,7,2,"[""\n\n""]",1,0,32717,87,08193-12288,7955,27,False,ok,0.13906926406926406,1285,83,9240,7,03af3f2a-ad8c-41d1-9cd0-8b85ddb95d06
11,4,7,2,"[""\n\n""]",1,0,31188,88,08193-12288,7811,23,False,ok,0.12324615557301605,1098,84,8909,7,e3688874-2614-4c3e-a003-ba5284ae4151
11,4,7,2,"[""\n\n""]",1,0,30598,89,08193-12288,7835,23,False,ok,0.09672584735992622,839,84,8674,7,0a35d023-9524-4055-a010-44a549a2fc4d
10,4,6,2,"[""\n\n""]",1,0,28783,90,04097-08192,7079,21,False,ok,0.11468234117058529,917,85,7996,6,766fc44c-3601-4c5e-813f-a13c83a4a834
13,4,9,2,"[""\n\n""]",1,0,32472,91,08193-12288,8048,27,False,ok,0.129004329004329,1192,85,9240,9,7ef05b90-d229-4e13-a25b-4106ddb73e11
15,4,11,2,"[""\n\n""]",1,0,34023,92,08193-12288,8432,31,False,ok,0.1352681776228079,1319,87,9751,11,5ef4fcf2-e164-416f-8c1b-879c9deb7f31
15,4,11,2,"[""\n\n""]",1,0,33979,93,08193-12288,8458,31,False,ok,0.1343772387677822,1313,87,9771,11,f3634f3e-76f8-412e-af83-4a2b3a4de4d0
11,4,7,0,[],0,0,32927,94,08193-12288,8802,23,False,ok,0.1225201874190011,1229,89,10031,7,0608d1f9-85fa-42e3-8609-ca091299c5c5
12,5,7,2,"[""\n\n""]",1,0,33399,95,08193-12288,8856,25,False,ok,0.12731572723689397,1292,89,10148,7,7aa5d946-f8f8-4694-9f90-7b4e63aab506
16,8,8,4,"[""\n\n"", ""\n\n""]",2,0,36984,96,08193-12288,8798,33,False,ok,0.20156094019421,2221,91,11019,8,2bb8a53c-66bc-4505-9547-433bef10515f
15,7,8,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,38846,97,08193-12288,8792,31,False,ok,0.25263515810948656,2972,91,11764,8,6c00c9fa-1b4a-46fc-a4ca-d706dc6bf81e
11,4,7,2,"[""\n\n""]",1,0,31532,98,08193-12288,8046,23,False,ok,0.1236248774643285,1135,92,9181,7,4ef44d35-1735-4db2-8e88-7cf397d77918
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,32843,99,08193-12288,8099,25,False,ok,0.15476935921519516,1483,92,9582,7,9fd1d3da-2e45-4bf0-922e-76eef1589447
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,35158,100,08193-12288,9357,25,False,ok,0.12338392355255762,1317,93,10674,7,dff8df05-5efb-4451-ae05-fc16d4496a0b
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,35156,101,08193-12288,9425,25,False,ok,0.1200634861357483,1286,93,10711,7,40020b77-4a4f-420b-a8c0-83c0b87d2176
12,4,8,2,"[""\n\n""]",1,0,38106,102,08193-12288,10108,25,False,ok,0.1592780504033935,1915,95,12023,8,b158db36-a87c-48a3-8f30-c61cc28a2f4f
13,4,9,2,"[""\n\n""]",1,0,36888,103,08193-12288,10131,27,False,ok,0.11596858638743456,1329,95,11460,9,2fe0d7a3-4069-4fbf-aace-0edab5d7dd00
11,4,7,2,"[""\n\n""]",1,0,33013,104,08193-12288,8130,23,False,ok,0.14122742156966303,1337,96,9467,7,474ff6be-8984-404b-a68f-efc3bd3d9493
13,4,9,2,"[""\n\n""]",1,0,33824,105,08193-12288,8285,27,False,ok,0.14622835943940643,1419,96,9704,9,c0271e58-2746-4277-824c-aa14d4fd9274
16,4,12,2,"[""\n\n""]",1,0,51439,106,12289-32768,11417,33,False,ok,0.2793662816385786,4426,98,15843,12,9bb35156-39ee-4b1b-8ee5-08bf494ebf80
17,4,13,2,"[""\n\n""]",1,0,53941,107,12289-32768,12839,35,False,ok,0.24034080823619905,4062,98,16901,13,056017b6-8da2-4a97-8500-89d59462db5d
15,4,11,2,"[""\n\n""]",1,0,56036,108,12289-32768,10909,31,False,ok,0.35480246037378754,5999,99,16908,11,7cd38137-61b3-4f4e-8da3-3d54bba014cd
15,3,12,0,[],0,0,44454,109,12289-32768,12332,31,False,ok,0.1178195865226411,1647,99,13979,12,cada7777-2a14-47ed-aa17-88ace8b0b5b8
20,7,13,0,[],0,0,42348,110,12289-32768,10591,41,False,ok,0.1721900891042676,2203,103,12794,13,23c3d03e-fddf-42f5-aa79-d0d589d40813
24,10,14,4,"[""\n\n"", ""\n\n""]",2,0,45514,111,12289-32768,10903,49,False,ok,0.20065982404692081,2737,103,13640,14,eeb099f9-3579-4bfe-bf3b-212947d64054
19,6,13,4,"[""\n\n"", ""\n\n""]",2,0,45348,112,12289-32768,11128,39,False,ok,0.2064465520929901,2895,104,14023,13,3f1235e2-5153-4456-b472-edea58959a9c
19,6,13,2,"[""\n\n""]",1,0,43734,113,12289-32768,11061,39,False,ok,0.1761507522717116,2365,104,13426,13,37d8421b-dcf4-433c-a416-dc56b5d357bc
11,7,4,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,33100,114,08193-12288,7188,23,False,ok,0.1953431098175305,1745,105,8933,4,546d54e2-1ff3-435f-a497-988fa6d1d402
14,6,8,4,"[""\n\n"", ""\n\n""]",2,0,38301,115,08193-12288,9021,29,False,ok,0.18766321476812248,2084,105,11105,8,4a542665-14cb-4428-b666-8d2a735fa021
12,4,8,2,"[""\n\n""]",1,0,32956,116,08193-12288,8481,25,False,ok,0.11295889551302166,1080,106,9561,8,664d967b-5f23-49f7-a26d-d7f73d30d9a7
13,6,7,4,"[""\n\n"", ""\n\n""]",2,0,34025,117,08193-12288,8179,27,False,ok,0.17848533547609483,1777,106,9956,7,46e40b69-1ba3-44ac-8f7d-7d1362609cdc
14,4,10,2,"[""\n\n""]",1,0,41854,118,12289-32768,10850,29,False,ok,0.17282915300754745,2267,107,13117,10,0a7c5419-8a76-4c27-9f24-6bad6458cb42
17,7,10,4,"[""\n\n"", ""\n\n""]",2,0,45017,119,12289-32768,10897,35,False,ok,0.21902099906830072,3056,107,13953,10,b353d029-e011-40aa-abb9-73efd81c5259
12,4,8,2,"[""\n\n""]",1,0,37033,120,08193-12288,8706,25,False,ok,0.20091785222579164,2189,109,10895,8,c4bdbdb1-1084-4fa5-b377-129f94f11fdd
13,4,9,2,"[""\n\n""]",1,0,39344,121,08193-12288,9580,27,False,ok,0.19128819854803308,2266,109,11846,9,752dde30-64c6-4e5b-b95d-5d169c561a29
15,7,8,4,"[""\n\n"", ""\n\n""]",2,0,36034,122,08193-12288,8513,31,False,ok,0.19016362252663624,1999,110,10512,8,0338f06a-8a31-4ffa-8de3-72215f091cd4
