assistant_spans,assistant_text_spans,assistant_tool_call_spans,boundary_masked_characters,boundary_masked_texts,boundary_merged_spans,boundary_non_whitespace_characters,characters,dataset_index,length_bin,masked_tokens,messages,over_max_model_len,status,supervised_fraction,supervised_tokens,task_id,tokens,tool_results,trajectory_id
12,4,8,2,"[""\n\n""]",1,0,36423,50,08193-12288,9351,25,False,ok,0.15475006779354605,1712,35,11063,8,736c3856-5a67-4153-ba2b-874e676b33dc
14,5,9,2,"[""\n\n""]",1,0,38487,51,08193-12288,10478,29,False,ok,0.12369323408881827,1479,35,11957,9,2a552ab4-fa6e-45c0-92d0-25368e5cc341
16,6,10,2,"[""\n\n""]",1,0,42047,52,12289-16384,10692,33,False,ok,0.17620772016334077,2287,37,12979,10,04cd5ce8-2a8a-4ad7-9ddc-a8bef6a94dfa
16,6,10,2,"[""\n\n""]",1,0,41303,53,12289-16384,10691,33,False,ok,0.17367444736435306,2247,37,12938,10,eb058787-0d86-4c73-9a3b-40aa7fe72446
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,32495,54,08193-12288,7458,23,False,ok,0.18696173552818052,1715,46,9173,6,f8a2fa25-bd6c-4799-a2f0-6d067b41de95
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,33116,55,08193-12288,7441,23,False,ok,0.19782233721431652,1835,46,9276,6,01918b0c-63b9-49e3-9062-46effe3dbe4a
10,6,4,2,"[""\n\n""]",1,0,29460,56,04097-08192,6804,21,False,ok,0.16607427380806472,1355,47,8159,4,47cdeeb9-db32-43cf-839c-8d38d5e41713
12,6,6,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,32112,57,08193-12288,7398,25,False,ok,0.18263175339741464,1653,47,9051,6,2dae0600-8206-4ce5-af37-583ab80bd123
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,30017,58,08193-12288,7344,23,False,ok,0.1138996138996139,944,48,8288,6,0c2231d9-e499-4cdd-b3fb-93a0fb204bac
12,6,6,2,"[""\n\n""]",1,0,30089,59,08193-12288,7377,25,False,ok,0.10884271563179512,901,48,8278,6,31442f75-1941-41e0-b76e-9ca111843755
9,6,3,4,"[""\n\n"", ""\n\n""]",2,0,25665,60,04097-08192,5788,19,False,ok,0.11687519072322246,766,57,6554,3,9423972e-be07-494c-831f-596ad1873f6c
8,5,3,2,"[""\n\n""]",1,0,25157,61,04097-08192,5768,17,False,ok,0.10309438656507541,663,57,6431,3,b8aedb91-2f33-4b3b-a067-ed50298d7785
